id|question|opt1|opt2|opt1|answer|tags|time_limit_seconds
25|किस विदेशी यात्री ने विजयनगर शहर को 'दुनिया का सबसे अच्छा आपूर्ति वाला शहर' बताया?|निकोलो कोंटी|अब्दुर रज़्ज़ाक|डोमिंगो पेस|फ़र्नाओ नूनिज़|डोमिंगो पेस|History_C7|30
26|डोमिंगो पेस किस देश का यात्री था?|पुर्तगाल|इटली|फ़्रांस|फारस|पुर्तगाल|History_C7|30
27|किस विदेशी यात्री ने विजयनगर साम्राज्य में महिलाओं की भागीदारी का उल्लेख किया है?|इब्न बतूता|अब्दुर रज़्ज़ाक|डोमिंगो पेस|निकोलो कोंटी|डोमिंगो पेस|History_C7|30
28|विजयनगर में शासकों द्वारा प्रयोग किया जाने वाला शब्द 'हिंदू सुरत्राण' (Hindu Suratrana) किस भाषा से लिया गया था?|संस्कृत|तमिल|तेलुगु|फ़ारसी|फ़ारसी|History_C7|30
29|विजयनगर के शासकों ने कौन सी उपाधि धारण की?|राय|महाराजाधिराज|हिंदू सुरत्राण|उपरोक्त सभी|उपरोक्त सभी|History_C7|30
30|शाही केंद्र में स्थित 'लोटस महल' का उपयोग किसके द्वारा किया जाता था?|राजा का निवास|राजकीय बैठकें और मनोरंजन|रानी का महल|गोदाम|राजकीय बैठकें और मनोरंजन|History_C7|30
31|विरूपाक्ष मंदिर में सबसे बड़ा 'गोपुरम' (प्रवेश द्वार) किसने बनवाया था?|हरिहर और बुक्का|कृष्णदेव राय|देव राय द्वितीय|डोमिंगो पेस|कृष्णदेव राय|History_C7|30
32|कृष्णदेव राय द्वारा लिखित ग्रंथ 'अमुक्तमाल्यद' (Amuktamalyada) किस भाषा में है?|संस्कृत|तेलुगु|तमिल|कन्नड़|तेलुगु|History_C7|30
33|विजयनगर में मंदिरों के निर्माण का मुख्य उद्देश्य क्या था?|धार्मिक|सामाजिक और राजनीतिक|आर्थिक|शिक्षा का प्रसार|सामाजिक और राजनीतिक|History_C7|30
34|अमर-नायकों का मुख्य कार्य क्या था?|भूमि राजस्व एकत्र करना|सैनिकों का नेतृत्व करना|क़िले और मंदिरों का रखरखाव|उपरोक्त सभी|उपरोक्त सभी|History_C7|30
35|विजयनगर शहर को अन्य किस नाम से जाना जाता था?|हम्पी|मदुरै|कांची|तंजावुर|हम्पी|History_C7|30
36|फ़ारसी राजदूत अब्दुर रज़्ज़ाक किसके शासनकाल में विजयनगर आया था?|कृष्णदेव राय|देव राय प्रथम|देव राय द्वितीय|विरूपाक्ष राय|देव राय द्वितीय|History_C7|30
37|विजयनगर शहर के आसपास की पहाड़ियों में किस स्थानीय देवी की पूजा की जाती थी?|पार्वती|पंपा देवी|लक्ष्मी|सरस्वती|पंपा देवी|History_C7|30
38|विजयनगर के पतन के बाद भी किस वंश ने 17वीं शताब्दी तक शासन किया?|संगम वंश|सालुव वंश|तुलुव वंश|अराविडु वंश|अराविडु वंश|History_C7|30
39|विजयनगर साम्राज्य में किलेबंदी की कितनी पंक्तियाँ थीं?|दो|तीन|चार|पाँच|तीन|History_C7|30
40|शाही केंद्र में स्थित 'कमलापुरम जलाशय' का उपयोग किसलिए किया जाता था?|सिंचाई|पीने का पानी|शाही अनुष्ठान|जल-केंद्रित खेती|शाही अनुष्ठान|History_C7|30
41|विजयनगर में सामान्य नागरिकों के लिए घरों के अवशेष किस धातु की छतों के साथ पाए गए हैं?|सोना|लोहा|टेराकोटा टाइल्स|घास और फूस|टेराकोटा टाइल्स|History_C7|30
42|विजयनगर के राजाओं को उनके अभिलेखों में किस शब्द से संबोधित किया जाता था?|राजन्|देव|महाराज|राय|राय|History_C7|30
43|विजयनगर में मंदिरों के प्रवेश द्वारों पर बने ऊँचे, भव्य मीनारों को क्या कहा जाता था?|मंडप|गोपुरम|प्रकार|गर्भगृह|गोपुरम|History_C7|30
44|विजयनगर की वास्तुकला में 'घोड़े' का प्रयोग किसलिए किया गया?|सिर्फ सवारी|सजावट और शक्ति का प्रतीक|व्यापारिक केंद्र|खेती|सजावट और शक्ति का प्रतीक|History_C7|30
45|डोमिंगो पेस ने विजयनगर के किस शासक की प्रशंसा की है?|हरिहर|बुक्का|कृष्णदेव राय|देव राय द्वितीय|कृष्णदेव राय|History_C7|30
46|विजयनगर साम्राज्य में 'सामूहिक अनुष्ठानों' के लिए कौन सा भवन था?|लोटस महल|विट्ठल मंदिर|महानवमी डिब्बा|हज़ारा राम मंदिर|महानवमी डिब्बा|History_C7|30
47|विजयनगर की स्थापना के समय उत्तर भारत में किस सल्तनत का शासन था?|ख़िलजी वंश|तुगलक वंश|लोदी वंश|सैयद वंश|तुगलक वंश|History_C7|30
48|इटली का यात्री निकोलो कोंटी विजयनगर कब आया था?|1420 के दशक में|1520 के दशक में|1620 के दशक में|1720 के दशक में|1420 के दशक में|History_C7|30
49|हम्पी के नाम का उद्भव किस स्थानीय देवी के नाम से हुआ है?|लक्ष्मी|पंपा देवी|पार्वती|सीता|पंपा देवी|History_C7|30
50|विजयनगर साम्राज्य की राजधानी 'हम्पी' कब उजाड़ हो गई?|तालीकोटा के युद्ध के बाद (1565)|कृष्णदेव राय की मृत्यु के बाद|अंग्रेजों के आने के बाद|मुगल आक्रमण के बाद|तालीकोटा के युद्ध के बाद (1565)|History_C7|30
