```python?code_reference&code_event_index=5
import pandas as pd
import io
        "question": "किशोरावस्था में वजन घटाने के लिए अत्यधिक चिंता करना और खाना छोड़ देना क्या कहलाता है?",
        "opt1": "बुलिमिया नर्वोसा",
        "opt2": "एनोरेक्सिया नर्वोसा",
        "opt3": "ओबेसिटी",
        "opt4": "ओवरईटिंग",
        "answer": "एनोरेक्सिया नर्वोसा",
        "tags": "HomeScience_C5",
        "time_limit_seconds": 30,
    },
    {
        "id": 13,
        "question": "आत्म-सम्मान (Self-esteem) का विकास किस अवस्था में सबसे अधिक महत्वपूर्ण होता है?",
        "opt1": "शैशवावस्था",
        "opt2": "प्रौढ़ावस्था",
        "opt3": "किशोरावस्था",
        "opt4": "वृद्धावस्था",
        "answer": "किशोरावस्था",
        "tags": "HomeScience_C5",
        "time_limit_seconds": 30,
    },
    {
        "id": 14,
        "question": "किशोरावस्था में व्यक्तिगत स्वतंत्रता (Independence) की इच्छा का क्या परिणाम हो सकता है?",
        "opt1": "माता-पिता के साथ संबंधों में सुधार",
        "opt2": "माता-पिता से संघर्ष और मतभेद",
        "opt3": "स्कूल के प्रदर्शन में सुधार",
        "opt4": "सामाजिक अलगाव",
        "answer": "माता-पिता से संघर्ष और मतभेद",
        "tags": "HomeScience_C5",
        "time_limit_seconds": 30,
    },
    {
        "id": 15,
        "question": "यौन शिक्षा (Sex Education) का मुख्य उद्देश्य क्या है?",
        "opt1": "केवल यौन आकर्षण को बढ़ावा देना",
        "opt2": "यौन और प्रजनन स्वास्थ्य की सही जानकारी देना",
        "opt3": "केवल यौन क्रियाओं के बारे में बताना",
        "opt4": "सामाजिक अलगाव को कम करना",
        "answer": "यौन और प्रजनन स्वास्थ्य की सही जानकारी देना",
        "tags": "HomeScience_C5",
        "time_limit_seconds": 30,
    },
    {
        "id": 16,
        "question": "किशोरों में तनाव को कम करने के लिए क्या आवश्यक है?",
        "opt1": "अत्यधिक प्रतिस्पर्धा",
        "opt2": "शारीरिक गतिविधि और मनोरंजन",
        "opt3": "सामाजिक अलगाव",
        "opt4": "माता-पिता का अत्यधिक नियंत्रण",
        "answer": "शारीरिक गतिविधि और मनोरंजन",
        "tags": "HomeScience_C5",
        "time_limit_seconds": 30,
    },
    {
        "id": 17,
        "question": "किशोरावस्था में होने वाला 'विकास का उछाल' (Growth Spurt) क्या है?",
        "opt1": "मानसिक विकास में अचानक वृद्धि",
        "opt2": "शरीर की लंबाई और वजन में तीव्र वृद्धि",
        "opt3": "केवल सामाजिक कौशल का विकास",
        "opt4": "केवल भावनात्मक स्थिरता",
        "answer": "शरीर की लंबाई और वजन में तीव्र वृद्धि",
        "tags": "HomeScience_C5",
        "time_limit_seconds": 30,
    },
    {
        "id": 18,
        "question": "किशोरों के लिए आवश्यक प्रोटीन की मात्रा किस अवस्था के बच्चों से अधिक होती है?",
        "opt1": "शिशु",
        "opt2": "बाल्यावस्था",
        "opt3": "वृद्धावस्था",
        "opt4": "प्रौढ़ावस्था",
        "answer": "बाल्यावस्था",
        "tags": "HomeScience_C5",
        "time_limit_seconds": 30,
    },
    {
        "id": 19,
        "question": "किशोरों में मादक द्रव्यों के सेवन (Substance Abuse) का मुख्य कारण क्या हो सकता है?",
        "opt1": "उच्च आत्म-सम्मान",
        "opt2": "पीयर प्रेशर (समूह का दबाव)",
        "opt3": "बेहतर शैक्षणिक प्रदर्शन",
        "opt4": "स्वस्थ पारिवारिक संबंध",
        "answer": "पीयर प्रेशर (समूह का दबाव)",
        "tags": "HomeScience_C5",
        "time_limit_seconds": 30,
    },
    {
        "id": 20,
        "question": "किशोरावस्था में होने वाले शारीरिक बदलाव किसके कारण होते हैं?",
        "opt1": "पोषण की कमी",
        "opt2": "हार्मोनल परिवर्तन",
        "opt3": "सामाजिक दबाव",
        "opt4": "मानसिक तनाव",
        "answer": "हार्मोनल परिवर्तन",
        "tags": "HomeScience_C5",
        "time_limit_seconds": 30,
    },
    {
        "id": 21,
        "question": "आत्म-केन्द्रण (Egocentrism) किस अवस्था की एक सामान्य विशेषता है?",
        "opt1": "बाल्यावस्था",
        "opt2": "किशोरावस्था",
        "opt3": "प्रौढ़ावस्था",
        "opt4": "शैशवावस्था",
        "answer": "किशोरावस्था",
        "tags": "HomeScience_C5",
        "time_limit_seconds": 30,
    },
    {
        "id": 22,
        "question": "किशोरावस्था के लिए एक संतुलित आहार में वसा (Fats) का प्रतिशत कितना होना चाहिए?",
        "opt1": "5-10%",
        "opt2": "15-25%",
        "opt3": "30-40%",
        "opt4": "50% से अधिक",
        "answer": "15-25%",
        "tags": "HomeScience_C5",
        "time_limit_seconds": 30,
    },
    {
        "id": 23,
        "question": "किशोरों में दांतों और हड्डियों के मजबूत विकास के लिए कौन सा खनिज आवश्यक है?",
        "opt1": "सोडियम",
        "opt2": "पोटेशियम",
        "opt3": "कैल्शियम",
        "opt4": "आयोडीन",
        "answer": "कैल्शियम",
        "tags": "HomeScience_C5",
        "time_limit_seconds": 30,
    },
    {
        "id": 24,
        "question": "किशोरों में तनाव और चिंता का एक प्रमुख कारण क्या है?",
        "opt1": "पारिवारिक समर्थन",
        "opt2": "शैक्षणिक अपेक्षाएं (Academic Expectations)",
        "opt3": "पर्याप्त नींद",
        "opt4": "संतुलित आहार",
        "answer": "शैक्षणिक अपेक्षाएं (Academic Expectations)",
        "tags": "HomeScience_C5",
        "time_limit_seconds": 30,
    },
    {
        "id": 25,
        "question": "किशोरावस्था में किस प्रकार के अपराधों की दर अधिक होती है?",
        "opt1": "बाल अपराध (Juvenile Delinquency)",
        "opt2": "सफेदपोश अपराध",
        "opt3": "साइबर अपराध",
        "opt4": "अंतर्राष्ट्रीय अपराध",
        "answer": "बाल अपराध (Juvenile Delinquency)",
        "tags": "HomeScience_C5",
        "time_limit_seconds": 30,
    },
    {
        "id": 26,
        "question": "किशोरावस्था में लड़कों में आवाज का भारी होना किस हार्मोन के कारण होता है?",
        "opt1": "एस्ट्रोजन",
        "opt2": "टेस्टोस्टेरोन",
        "opt3": "प्रोजेस्टेरोन",
        "opt4": "इन्सुलिन",
        "answer": "टेस्टोस्टेरोन",
        "tags": "HomeScience_C5",
        "time_limit_seconds": 30,
    },
    {
        "id": 27,
        "question": "किशोरावस्था के दौरान व्यक्तिगत स्वच्छता (Personal Hygiene) में क्या शामिल नहीं है?",
        "opt1": "रोजाना नहाना",
        "opt2": "साफ़-सुथरे कपड़े पहनना",
        "opt3": "अत्यधिक जंक फूड खाना",
        "opt4": "दांतों को ब्रश करना",
        "answer": "अत्यधिक जंक फूड खाना",
        "tags": "HomeScience_C5",
        "time_limit_seconds": 30,
    },
    {
        "id": 28,
        "question": "किशोरों के लिए व्यावसायिक मार्गदर्शन (Vocational Guidance) क्यों महत्वपूर्ण है?",
        "opt1": "सामाजिक अलगाव के लिए",
        "opt2": "अपने भविष्य के करियर का चुनाव करने में मदद के लिए",
        "opt3": "केवल शारीरिक विकास के लिए",
        "opt4": "स्कूल की फीस कम करने के लिए",
        "answer": "अपने भविष्य के करियर का चुनाव करने में मदद के लिए",
        "tags": "HomeScience_C5",
        "time_limit_seconds": 30,
    },
    {
        "id": 29,
        "question": "मानव विकास की किस अवस्था में विपरीत लिंग के प्रति आकर्षण शुरू होता है?",
        "opt1": "प्रारंभिक बाल्यावस्था",
        "opt2": "उत्तर बाल्यावस्था",
        "opt3": "किशोरावस्था",
        "opt4": "प्रौढ़ावस्था",
        "answer": "किशोरावस्था",
        "tags": "HomeScience_C5",
        "time_limit_seconds": 30,
    },
    {
        "id": 30,
        "question": "किशोरों के लिए एक दिन में कितने घंटे की नींद लेना आवश्यक माना जाता है?",
        "opt1": "4-5 घंटे",
        "opt2": "6-7 घंटे",
        "opt3": "8-10 घंटे",
        "opt4": "12 घंटे से अधिक",
        "answer": "8-10 घंटे",
        "tags": "HomeScience_C5",
        "time_limit_seconds": 30,
    },
    {
        "id": 31,
        "question": "किशोरावस्था में होने वाले मुंहासे (Acne) का मुख्य कारण क्या है?",
        "opt1": "पानी की कमी",
        "opt2": "तेल ग्रंथियों की बढ़ी हुई गतिविधि",
        "opt3": "अत्यधिक व्यायाम",
        "opt4": "पढ़ाई का तनाव",
        "answer": "तेल ग्रंथियों की बढ़ी हुई गतिविधि",
        "tags": "HomeScience_C5",
        "time_limit_seconds": 30,
    },
    {
        "id": 32,
        "question": "आत्महत्या के विचारों (Suicidal Ideation) को रोकने में सबसे प्रभावी उपाय क्या है?",
        "opt1": "समस्याओं को नजरअंदाज करना",
        "opt2": "पेशावर परामर्श (Professional Counseling) और समर्थन",
        "opt3": "अकेले रहने देना",
        "opt4": "अधिक टीवी देखना",
        "answer": "पेशावर परामर्श (Professional Counseling) और समर्थन",
        "tags": "HomeScience_C5",
        "time_limit_seconds": 30,
    },
    {
        "id": 33,
        "question": "बुलिमिया नर्वोसा में किस प्रकार का व्यवहार शामिल होता है?",
        "opt1": "खाने से पूरी तरह परहेज करना",
        "opt2": "अत्यधिक खाना और फिर उल्टी या जुलाब का उपयोग करना",
        "opt3": "केवल स्वस्थ भोजन खाना",
        "opt4": "दिन भर थोड़ा-थोड़ा खाना",
        "answer": "अत्यधिक खाना और फिर उल्टी या जुलाब का उपयोग करना",
        "tags": "HomeScience_C5",
        "time_limit_seconds": 30,
    },
    {
        "id": 34,
        "question": "किशोरों में 'हीरो वर्शिप' (Hero Worship) की प्रवृत्ति किस विकास से संबंधित है?",
        "opt1": "शारीरिक विकास",
        "opt2": "सामाजिक विकास",
        "opt3": "संज्ञानात्मक विकास",
        "opt4": "नैतिक विकास",
        "answer": "सामाजिक विकास",
        "tags": "HomeScience_C5",
        "time_limit_seconds": 30,
    },
    {
        "id": 35,
        "question": "किशोरावस्था में लड़कियों के लिए आयरन की बढ़ी हुई आवश्यकता का मुख्य कारण क्या है?",
        "opt1": "विकास का उछाल",
        "opt2": "मासिक धर्म के कारण रक्त की हानि",
        "opt3": "वसा का जमाव",
        "opt4": "केवल मानसिक कार्य",
        "answer": "मासिक धर्म के कारण रक्त की हानि",
        "tags": "HomeScience_C5",
        "time_limit_seconds": 30,
    },
    {
        "id": 36,
        "question": "किशोरावस्था के अंत तक व्यक्ति किस अवस्था में प्रवेश करता है?",
        "opt1": "बाल्यावस्था",
        "opt2": "प्रारंभिक प्रौढ़ावस्था",
        "opt3": "वृद्धावस्था",
        "opt4": "शैशवावस्था",
        "answer": "प्रारंभिक प्रौढ़ावस्था",
        "tags": "HomeScience_C5",
        "time_limit_seconds": 30,
    },
    {
        "id": 37,
        "question": "किशोरों के लिए किस प्रकार के भोजन से बचना सबसे अच्छा है?",
        "opt1": "फल और सब्जियां",
        "opt2": "साबुत अनाज",
        "opt3": "अत्यधिक प्रसंस्कृत (Processed) और शर्करा युक्त भोजन",
        "opt4": "प्रोटीन युक्त खाद्य पदार्थ",
        "answer": "अत्यधिक प्रसंस्कृत (Processed) और शर्करा युक्त भोजन",
        "tags": "HomeScience_C5",
        "time_limit_seconds": 30,
    },
    {
        "id": 38,
        "question": "कोहलबर्ग के नैतिक विकास के सिद्धांत के अनुसार, किशोर किस स्तर पर होते हैं?",
        "opt1": "पूर्व-परंपरागत स्तर",
        "opt2": "परंपरागत स्तर",
        "opt3": "उत्तर-परंपरागत स्तर",
        "opt4": "संवेदी प्रेरक स्तर",
        "answer": "उत्तर-परंपरागत स्तर",
        "tags": "HomeScience_C5",
        "time_limit_seconds": 30,
    },
    {
        "id": 39,
        "question": "समय प्रबंधन (Time Management) कौशल किस अवस्था में महत्वपूर्ण हो जाते हैं?",
        "opt1": "शैशवावस्था",
        "opt2": "उत्तर बाल्यावस्था",
        "opt3": "किशोरावस्था",
        "opt4": "वृद्धावस्था",
        "answer": "किशोरावस्था",
        "tags": "HomeScience_C5",
        "time_limit_seconds": 30,
    },
    {
        "id": 40,
        "question": "लिंग पहचान (Gender Identity) का विकास किस अवस्था में स्थिर होता है?",
        "opt1": "प्रारंभिक बाल्यावस्था",
        "opt2": "किशोरावस्था",
        "opt3": "प्रौढ़ावस्था",
        "opt4": "उत्तर बाल्यावस्था",
        "answer": "किशोरावस्था",
        "tags": "HomeScience_C5",
        "time_limit_seconds": 30,
    },
    {
        "id": 41,
        "question": "किशोरावस्था में परिवार के सदस्यों के साथ संबंधों में क्या बदलाव आता है?",
        "opt1": "निर्भरता में वृद्धि",
        "opt2": "स्वतंत्रता की इच्छा के कारण दूरी और टकराव",
        "opt3": "संचार में सुधार",
        "opt4": "कोई बदलाव नहीं",
        "answer": "स्वतंत्रता की इच्छा के कारण दूरी और टकराव",
        "tags": "HomeScience_C5",
        "time_limit_seconds": 30,
    },
    {
        "id": 42,
        "question": "फास्ट फूड (Fast Food) का अधिक सेवन किशोरों में किस समस्या को जन्म दे सकता है?",
        "opt1": "एनीमिया",
        "opt2": "मोटापा (Obesity)",
        "opt3": "त्वचा का साफ होना",
        "opt4": "अच्छी नींद",
        "answer": "मोटापा (Obesity)",
        "tags": "HomeScience_C5",
        "time_limit_seconds": 30,
    },
    {
        "id": 43,
        "question": "किशोरावस्था में होने वाले यौन परिवर्तनों को क्या कहा जाता है?",
        "opt1": "विकास का उछाल",
        "opt2": "यौवनारंभ (Puberty)",
        "opt3": "संवेगात्मक विस्फोट",
        "opt4": "मानसिक विकास",
        "answer": "यौवनारंभ (Puberty)",
        "tags": "HomeScience_C5",
        "time_limit_seconds": 30,
    },
    {
        "id": 44,
        "question": "आत्म-सम्मान को बेहतर बनाने के लिए किशोरों को क्या करना चाहिए?",
        "opt1": "दूसरों की नकल करना",
        "opt2": "अपनी शक्तियों और सीमाओं को पहचानना",
        "opt3": "समूह से अलग रहना",
        "opt4": "केवल पढ़ाई पर ध्यान देना",
        "answer": "अपनी शक्तियों और सीमाओं को पहचानना",
        "tags": "HomeScience_C5",
        "time_limit_seconds": 30,
    },
    {
        "id": 45,
        "question": "किशोरों के लिए यौन संचारित संक्रमणों (STIs) से बचाव का सबसे प्रभावी तरीका क्या है?",
        "opt1": "केवल यौन शिक्षा",
        "opt2": "सुरक्षित यौन संबंध (Safe Sexual Practices)",
        "opt3": "तनाव प्रबंधन",
        "opt4": "संतुलित आहार",
        "answer": "सुरक्षित यौन संबंध (Safe Sexual Practices)",
        "tags": "HomeScience_C5",
        "time_limit_seconds": 30,
    },
    {
        "id": 46,
        "question": "किशोरों में स्वस्थ आदतें जैसे व्यायाम और सही खान-पान क्यों आवश्यक हैं?",
        "opt1": "केवल मोटापा कम करने के लिए",
        "opt2": "शारीरिक और मानसिक स्वास्थ्य को बनाए रखने के लिए",
        "opt3": "केवल अकादमिक प्रदर्शन के लिए",
        "opt4": "दोस्तों के बीच लोकप्रिय होने के लिए",
        "answer": "शारीरिक और मानसिक स्वास्थ्य को बनाए रखने के लिए",
        "tags": "HomeScience_C5",
        "time_limit_seconds": 30,
    },
    {
        "id": 47,
        "question": "किशोरावस्था में नेतृत्व कौशल (Leadership Skills) का विकास किस क्षेत्र में होता है?",
        "opt1": "केवल परिवार",
        "opt2": "स्कूल और सहपाठी समूह",
        "opt3": "केवल धार्मिक संस्थान",
        "opt4": "किसी भी क्षेत्र में नहीं",
        "answer": "स्कूल और सहपाठी समूह",
        "tags": "HomeScience_C5",
        "time_limit_seconds": 30,
    },
    {
        "id": 48,
        "question": "किशोरावस्था में भावनाओं के प्रबंधन (Emotion Management) में कौन सा कौशल सबसे महत्वपूर्ण है?",
        "opt1": "दबाव को नजरअंदाज करना",
        "opt2": "सकारात्मक मुकाबला कौशल (Positive Coping Skills) सीखना",
        "opt3": "खुद को अकेला रखना",
        "opt4": "हर बात पर बहस करना",
        "answer": "सकारात्मक मुकाबला कौशल (Positive Coping Skills) सीखना",
        "tags": "HomeScience_C5",
        "time_limit_seconds": 30,
    },
    {
        "id": 49,
        "question": "किशोरावस्था में किस प्रकार के खेल शारीरिक स्वास्थ्य के लिए सबसे अधिक फायदेमंद होते हैं?",
        "opt1": "बैठकर खेले जाने वाले खेल",
        "opt2": "आउटडोर खेल (Outdoor Sports)",
        "opt3": "मोबाइल गेम",
        "opt4": "केवल मानसिक खेल",
        "answer": "आउटडोर खेल (Outdoor Sports)",
        "tags": "HomeScience_C5",
        "time_limit_seconds": 30,
    },
    {
        "id": 50,
        "question": "किशोरावस्था में उचित पोषण क्यों महत्वपूर्ण है?",
        "opt1": "केवल ऊंचाई बढ़ाने के लिए",
        "opt2": "तीव्र शारीरिक और मानसिक विकास का समर्थन करने के लिए",
        "opt3": "केवल वसा जमा करने के लिए",
        "opt4": "रोगों के प्रति प्रतिरोधक क्षमता कम करने के लिए",
        "answer": "तीव्र शारीरिक और मानसिक विकास का समर्थन करने के लिए",
        "tags": "HomeScience_C5",
        "time_limit_seconds": 30,
    },
]

# Convert the list of dictionaries to a DataFrame
df = pd.DataFrame(quiz_data)

# Create a StringIO object to capture the CSV output
csv_buffer = io.StringIO()

# Write the DataFrame to CSV format with '|' as the separator and no index/header
df.to_csv(csv_buffer, sep='|', index=False, header=True)

# Print the resulting CSV string
print(csv_buffer.getvalue())

```

```text?code_stdout&code_event_index=5
id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|किशोरावस्था की उम्र सीमा सामान्यतः क्या मानी जाती है?|5 से 10 वर्ष|12 से 18 वर्ष|18 से 25 वर्ष|0 से 5 वर्ष|12 से 18 वर्ष|HomeScience_C5|30
2|किशोरावस्था को 'तूफ़ान और तनाव' की अवस्था किसने कहा है?|जीन पियाजे|स्टेनली हॉल|सिगमंड फ्रायड|एरिक एरिक्सन|स्टेनली हॉल|HomeScience_C5|30
3|यौन परिपक्वता (Puberty) की शुरुआत किस अवस्था में होती है?|शैशवावस्था|बाल्यावस्था|किशोरावस्था|प्रौढ़ावस्था|किशोरावस्था|HomeScience_C5|30
4|किशोरावस्था के दौरान लड़कियों में होने वाला पहला मासिक धर्म क्या कहलाता है?|रजोनिवृत्ति (Menopause)|गर्भधारण|रजोधर्म (Menarche)|मासिक चक्र|रजोधर्म (Menarche)|HomeScience_C5|30
5|किशोरों के आहार में किस पोषक तत्व की आवश्यकता सबसे अधिक होती है?|विटामिन ए|आयरन और कैल्शियम|विटामिन डी|कार्बोहाइड्रेट|आयरन और कैल्शियम|HomeScience_C5|30
6|एरिक एरिक्सन के अनुसार किशोरावस्था का मुख्य विकासात्मक कार्य क्या है?|विश्वास बनाम अविश्वास|पहल बनाम अपराधबोध|पहचान बनाम भूमिका भ्रम|उत्पादकता बनाम ठहराव|पहचान बनाम भूमिका भ्रम|HomeScience_C5|30
7|तार्किक और अमूर्त रूप से सोचने की क्षमता किस अवस्था में विकसित होती है?|संवेदी प्रेरक अवस्था|पूर्व-संक्रियात्मक अवस्था|मूर्त संक्रियात्मक अवस्था|औपचारिक संक्रियात्मक अवस्था|औपचारिक संक्रियात्मक अवस्था|HomeScience_C5|30
8|किस समस्या के कारण किशोरों को अपने शरीर की छवि (body image) के बारे में चिंता होती है?|तनाव (Stress)|खाने के विकार (Eating Disorders)|स्कूल छोड़ने की दर|व्यवहारिक समस्याएं|खाने के विकार (Eating Disorders)|HomeScience_C5|30
9|किशोरावस्था में संवेगात्मक विकास की मुख्य विशेषता क्या है?|संवेगों में स्थिरता|संवेगों में तीव्रता और अस्थिरता|संवेगों का अभाव|केवल खुशी का अनुभव|संवेगों में तीव्रता और अस्थिरता|HomeScience_C5|30
10|किशोरावस्था में सामाजिक विकास में सबसे महत्वपूर्ण समूह कौन सा होता है?|परिवार|शिक्षक|समूह (Peer Group)|रिश्तेदार|समूह (Peer Group)|HomeScience_C5|30
11|किशोरों में एनीमिया (रक्त की कमी) का मुख्य कारण क्या है?|विटामिन डी की कमी|आयरन (लोहे) की कमी|कैल्शियम की कमी|अत्यधिक प्रोटीन|आयरन (लोहे) की कमी|HomeScience_C5|30
12|किशोरावस्था में वजन घटाने के लिए अत्यधिक चिंता करना और खाना छोड़ देना क्या कहलाता है?|बुलिमिया नर्वोसा|एनोरेक्सिया नर्वोसा|ओबेसिटी|ओवरईटिंग|एनोरेक्सिया नर्वोसा|HomeScience_C5|30
13|आत्म-सम्मान (Self-esteem) का विकास किस अवस्था में सबसे अधिक महत्वपूर्ण होता है?|शैशवावस्था|प्रौढ़ावस्था|किशोरावस्था|वृद्धावस्था|किशोरावस्था|HomeScience_C5|30
14|किशोरावस्था में व्यक्तिगत स्वतंत्रता (Independence) की इच्छा का क्या परिणाम हो सकता है?|माता-पिता के साथ संबंधों में सुधार|माता-पिता से संघर्ष और मतभेद|स्कूल के प्रदर्शन में सुधार|सामाजिक अलगाव|माता-पिता से संघर्ष और मतभेद|HomeScience_C5|30
15|यौन शिक्षा (Sex Education) का मुख्य उद्देश्य क्या है?|केवल यौन आकर्षण को बढ़ावा देना|यौन और प्रजनन स्वास्थ्य की सही जानकारी देना|केवल यौन क्रियाओं के बारे में बताना|सामाजिक अलगाव को कम करना|यौन और प्रजनन स्वास्थ्य की सही जानकारी देना|HomeScience_C5|30
16|किशोरों में तनाव को कम करने के लिए क्या आवश्यक है?|अत्यधिक प्रतिस्पर्धा|शारीरिक गतिविधि और मनोरंजन|सामाजिक अलगाव|माता-पिता का अत्यधिक नियंत्रण|शारीरिक गतिविधि और मनोरंजन|HomeScience_C5|30
17|किशोरावस्था में होने वाला 'विकास का उछाल' (Growth Spurt) क्या है?|मानसिक विकास में अचानक वृद्धि|शरीर की लंबाई और वजन में तीव्र वृद्धि|केवल सामाजिक कौशल का विकास|केवल भावनात्मक स्थिरता|शरीर की लंबाई और वजन में तीव्र वृद्धि|HomeScience_C5|30
18|किशोरों के लिए आवश्यक प्रोटीन की मात्रा किस अवस्था के बच्चों से अधिक होती है?|शिशु|बाल्यावस्था|वृद्धावस्था|प्रौढ़ावस्था|बाल्यावस्था|HomeScience_C5|30
19|किशोरों में मादक द्रव्यों के सेवन (Substance Abuse) का मुख्य कारण क्या हो सकता है?|उच्च आत्म-सम्मान|पीयर प्रेशर (समूह का दबाव)|बेहतर शैक्षणिक प्रदर्शन|स्वस्थ पारिवारिक संबंध|पीयर प्रेशर (समूह का दबाव)|HomeScience_C5|30
20|किशोरावस्था में होने वाले शारीरिक बदलाव किसके कारण होते हैं?|पोषण की कमी|हार्मोनल परिवर्तन|सामाजिक दबाव|मानसिक तनाव|हार्मोनल परिवर्तन|HomeScience_C5|30
21|आत्म-केन्द्रण (Egocentrism) किस अवस्था की एक सामान्य विशेषता है?|बाल्यावस्था|किशोरावस्था|प्रौढ़ावस्था|शैशवावस्था|किशोरावस्था|HomeScience_C5|30
22|किशोरावस्था के लिए एक संतुलित आहार में वसा (Fats) का प्रतिशत कितना होना चाहिए?|5-10%|15-25%|30-40%|50% से अधिक|15-25%|HomeScience_C5|30
23|किशोरों में दांतों और हड्डियों के मजबूत विकास के लिए कौन सा खनिज आवश्यक है?|सोडियम|पोटेशियम|कैल्शियम|आयोडीन|कैल्शियम|HomeScience_C5|30
24|किशोरों में तनाव और चिंता का एक प्रमुख कारण क्या है?|पारिवारिक समर्थन|शैक्षणिक अपेक्षाएं (Academic Expectations)|पर्याप्त नींद|संतुलित आहार|शैक्षणिक अपेक्षाएं (Academic Expectations)|HomeScience_C5|30
